,Atual,2023,2022,2021,2020,2019,acao
P/RECEITA (PSR),"1,14","1,30","1,01","0,74","1,05","1,19",csrn3
P/VP,"2,66","3,03","2,56","1,77","2,21","2,96",csrn3
DIVIDEND YIELD (DY),"6,10%","9,49%","18,92%","13,71%","0,80%","6,27%",csrn3
PAYOUT,"73,79%","77,54%","119,81%","77,08%","6,99%","73,30%",csrn3
MARGEM LÍQUIDA,"16,22%","16,22%","16,39%","11,64%","12,24%","10,41%",csrn3
MARGEM BRUTA,"30,46%","30,46%","30,70%","24,61%","22,91%","21,83%",csrn3
MARGEM EBIT,"23,33%","23,33%","25,42%","19,91%","16,75%","16,05%",csrn3
MARGEM EBITDA,"29,13%","29,13%","29,71%","23,59%","20,54%","19,64%",csrn3
EV/EBITDA,"6,12","6,65","5,43","5,46","7,72","8,76",csrn3
EV/EBIT,"7,65","8,31","6,35","6,47","9,47","10,72",csrn3
P/EBITDA,"3,91","4,45","3,42","3,13","5,12","6,06",csrn3
P/EBIT,"4,88","5,56","3,99","3,71","6,27","7,41",csrn3
P/ATIVO,"0,73","0,83","0,68","0,51","0,64","0,77",csrn3
P/CAP.GIRO,"-71,00","-80,85","58,01","-23,85","8,41","-2,04",csrn3
P/ATIVO CIRC LIQ,"-0,96","-1,10","-0,89","-0,72","-0,82","-1,00",csrn3
VPA,"9,20","9,20","8,36","9,00","7,91","6,26",csrn3
LPA,"3,49","3,49","3,46","2,50","2,03","1,62",csrn3
GIRO ATIVOS,"0,64","0,64","0,67","0,70","0,61","0,65",csrn3
ROE,"37,97%","37,97%","41,35%","27,83%","25,73%","25,96%",csrn3
ROIC,"18,88%","18,88%","19,87%","16,48%","13,09%","13,51%",csrn3
ROA,"10,37%","10,37%","11,03%","10,27%","7,41%","6,72%",csrn3
DÍVIDA LÍQUIDA / EBITDA,"2,22","2,22","2,06","2,31","2,60","2,79",csrn3
DÍVIDA LÍQUIDA / EBIT,"2,77","2,77","2,41","2,74","3,19","3,42",csrn3
DÍVIDA BRUTA / PATRIMÔNIO,"1,75","1,75","1,73","1,42","1,28","1,60",csrn3
PATRIMÔNIO / ATIVOS,"0,27","0,27","0,27","0,29","0,29","0,26",csrn3
PASSIVOS / ATIVOS,"0,73","0,73","0,73","0,71","0,71","1,22",csrn3
LIQUIDEZ CORRENTE,"0,96","0,96","1,05","0,93","1,52","0,38",csrn3
CAGR RECEITAS 5 ANOS,"6,64%","8,58%","10,41%","14,99%","9,71%","10,15%",csrn3
CAGR LUCROS 5 ANOS,"16,54%","19,42%","25,28%","24,12%","12,94%","5,29%",csrn3
P/L,"14,01","13,80","7,79","9,91","11,63","15,89",jopa3
P/RECEITA (PSR),"0,11","0,10","0,11","0,15","0,24","0,23",jopa3
P/VP,"0,39","0,38","0,32","0,56","0,71","0,57",jopa3
DIVIDEND YIELD (DY),"3,85%","3,91%","3,68%","2,97%","0,82%","2,40%",jopa3
PAYOUT,"54,04%","54,04%","28,68%","34,59%","4,78%","38,24%",jopa3
MARGEM LÍQUIDA,"0,76%","0,76%","1,35%","1,54%","2,04%","1,48%",jopa3
MARGEM BRUTA,"21,58%","21,58%","21,36%","19,84%","27,37%","27,49%",jopa3
MARGEM EBIT,"5,98%","5,98%","5,74%","4,18%","7,51%","2,40%",jopa3
MARGEM EBITDA,"6,69%","6,69%","5,01%","5,04%","8,58%","3,68%",jopa3
EV/EBITDA,"5,22","5,19","7,82","8,34","6,29","18,01",jopa3
EV/EBIT,"5,83","5,80","6,82","10,05","7,19","27,57",jopa3
P/EBITDA,"1,59","1,57","2,10","3,02","2,76","6,38",jopa3
P/EBIT,"1,78","1,75","1,83","3,64","3,15","9,77",jopa3
P/ATIVO,"0,09","0,09","0,10","0,14","0,18","0,16",jopa3
P/CAP.GIRO,"0,25","0,25","0,32","0,36","0,64","0,55",jopa3
P/ATIVO CIRC LIQ,"-0,36","-0,36","-0,37","-0,47","-0,54","-0,42",jopa3
VPA,"54,94","54,94","70,97","51,37","49,29","47,14",jopa3
LPA,"1,52","1,52","2,89","2,91","3,01","1,70",jopa3
GIRO ATIVOS,"0,89","0,89","0,94","0,91","0,77","0,68",jopa3
ROE,"2,77%","2,77%","4,07%","5,66%","6,10%","3,60%",jopa3
ROIC,"6,59%","6,59%","5,96%","3,79%","4,39%","-60,63%",jopa3
ROA,"0,93%","0,93%","1,55%","1,69%","1,89%","1,03%",jopa3
DÍVIDA LÍQUIDA / EBITDA,"3,61","3,61","5,71","5,31","3,54","11,64",jopa3
DÍVIDA LÍQUIDA / EBIT,"4,04","4,04","4,98","6,40","4,04","17,82",jopa3
DÍVIDA BRUTA / PATRIMÔNIO,"2,15","2,15","1,74","2,12","1,94","1,83",jopa3
PATRIMÔNIO / ATIVOS,"0,24","0,24","0,31","0,25","0,26","0,28",jopa3
PASSIVOS / ATIVOS,"0,69","0,69","0,69","0,67","0,66","0,67",jopa3
LIQUIDEZ CORRENTE,"2,06","2,06","1,73","2,21","1,76","1,85",jopa3
CAGR RECEITAS 5 ANOS,"11,70%","13,87%","16,21%","11,31%","8,16%","3,46%",jopa3
CAGR LUCROS 5 ANOS,"3,79%","-5,98%","8,05%","0,73%","5,13%","-7,34%",jopa3
P/L,"0,41","0,43","0,11","-1,08","-0,57","-0,32",hoot4
P/RECEITA (PSR),"0,35","0,36","0,22","1,12","1,43","0,47",hoot4
P/VP,"-0,36","-0,38","-0,07","-0,11","-0,11","-0,12",hoot4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",hoot4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",hoot4
MARGEM LÍQUIDA,"83,58%","83,58%","196,82%","-102,95%","-251,12%","-150,19%",hoot4
MARGEM BRUTA,"70,01%","70,01%","66,59%","60,76%","48,08%","65,71%",hoot4
MARGEM EBIT,"121,82%","121,82%","225,32%","-63,60%","-190,04%","-117,20%",hoot4
MARGEM EBITDA,"129,56%","129,56%","230,91%","-67,44%","-181,41%","-112,60%",hoot4
EV/EBITDA,"0,36","0,09","0,23","-2,21","-1,13","-0,17",hoot4
EV/EBIT,"0,38","0,10","0,23","-2,34","-1,08","-0,17",hoot4
P/EBITDA,"0,27","0,28","0,09","-1,65","-0,79","-0,42",hoot4
P/EBIT,"0,28","0,29","0,10","-1,75","-0,75","-0,40",hoot4
P/ATIVO,"0,10","0,10","0,04","0,11","0,11","0,09",hoot4
P/CAP.GIRO,"-0,26","-0,27","-0,07","-0,08","-0,09","-0,08",hoot4
P/ATIVO CIRC LIQ,"-0,11","-0,12","-0,05","-0,12","-0,12","-0,09",hoot4
VPA,"-7,70","-7,70","-17,06","-26,21","-24,55","-19,75",hoot4
LPA,"6,72","6,72","10,76","-2,58","-4,94","-7,44",hoot4
GIRO ATIVOS,"0,29","0,29","0,20","0,10","0,08","0,19",hoot4
ROE,"-87,27%","-87,27%","-63,06%","-9,86%","-20,13%","-37,65%",hoot4
ROIC,"-123,92%","-123,92%","-72,11%","8,60%","15,68%","30,05%",hoot4
ROA,"24,12%","24,12%","39,69%","-8,77%","-19,65%","-28,61%",hoot4
DÍVIDA LÍQUIDA / EBITDA,"-0,03","-0,03","-0,04","0,19","0,007472","0,007809",hoot4
DÍVIDA LÍQUIDA / EBIT,"-0,03","-0,03","-0,04","0,20","0,007132","0,007503",hoot4
DÍVIDA BRUTA / PATRIMÔNIO,"-0,01","-0,01","-0,00","-0,00","-0,00","-0,01",hoot4
PATRIMÔNIO / ATIVOS,"-0,28","-0,28","-0,63","-1,06","-0,98","-0,76",hoot4
PASSIVOS / ATIVOS,"1,34","1,34","1,63","2,11","2,03","1,80",hoot4
LIQUIDEZ CORRENTE,"0,24","0,24","0,12","0,04","0,03","0,04",hoot4
CAGR RECEITAS 5 ANOS,"10,19%","13,47%","-3,08%","-20,33%","-24,23%","-11,72%",hoot4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,hoot4
P/L,"-9,48","-10,62","-10,88","-72,81","-71,65","-36,73",telb3
P/RECEITA (PSR),"2,90","3,25","4,00","13,40","28,52","42,71",telb3
P/VP,"0,85","0,95","0,84","2,67","4,90","5,30",telb3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",telb3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",telb3
MARGEM LÍQUIDA,"-30,55%","-30,55%","-36,72%","-18,40%","-39,81%","-116,29%",telb3
MARGEM BRUTA,"-46,66%","-46,66%","-188,68%","-80,49%","-71,84%","-104,60%",telb3
MARGEM EBIT,"-16,17%","-16,17%","-10,84%","-23,43%","-26,89%","-60,17%",telb3
MARGEM EBITDA,"44,93%","44,93%","60,63%","67,80%","54,98%","33,98%",telb3
EV/EBITDA,"0,13","1,11","1,23","12,74","39,95","98,30",telb3
EV/EBIT,"-0,37","-3,08","-6,87","-36,86","-81,70","-55,52",telb3
P/EBITDA,"6,45","7,22","6,59","19,76","51,88","125,70",telb3
P/EBIT,"-17,92","-20,07","-36,85","-57,17","-106,08","-70,99",telb3
P/ATIVO,"0,30","0,34","0,34","0,93","1,79","2,03",telb3
P/CAP.GIRO,"0,91","1,02","1,15","3,38","7,49","9,23",telb3
P/ATIVO CIRC LIQ,"-0,50","-0,56","-0,55","-1,45","-2,60","-2,80",telb3
VPA,"16,50","16,50","19,26","16,56","17,98","19,06",telb3
LPA,"-1,47","-1,47","-1,48","-0,61","-1,23","-2,75",telb3
GIRO ATIVOS,"0,10","0,10","0,09","0,07","0,06","0,05",telb3
ROE,"-8,93%","-8,93%","-7,68%","-3,67%","-6,84%","-14,42%",telb3
ROIC,"-4,40%","-4,40%","-2,08%","-4,08%","-3,93%","-6,40%",telb3
ROA,"-3,18%","-3,18%","-3,16%","-3,09%","-2,50%","-5,53%",telb3
DÍVIDA LÍQUIDA / EBITDA,"-5,86","-5,86","-4,84","-4,58","-4,74","-8,32",telb3
DÍVIDA LÍQUIDA / EBIT,"16,29","16,29","27,08","13,24","9,70","4,70",telb3
DÍVIDA BRUTA / PATRIMÔNIO,"0,07","0,07","0,09","0,15","0,17","0,17",telb3
PATRIMÔNIO / ATIVOS,"0,36","0,36","0,41","0,35","0,37","0,38",telb3
PASSIVOS / ATIVOS,"0,64","0,64","0,59","0,65","0,63","0,62",telb3
LIQUIDEZ CORRENTE,"5,73","5,73","4,75","4,50","4,37","5,04",telb3
CAGR RECEITAS 5 ANOS,"15,33%","29,40%","42,66%","38,50%","42,70%","5,60%",telb3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,telb3
P/L,"7,46","6,84","7,94","9,57","11,92","18,00",balm3
P/RECEITA (PSR),"0,69","0,63","0,69","1,14","1,25","0,75",balm3
P/VP,"0,82","0,75","0,85","1,17","1,80","1,12",balm3
DIVIDEND YIELD (DY),"7,39%","9,02%","2,17%","2,18%","5,69%","0,00%",balm3
PAYOUT,"25,50%","34,86%","76,45%","41,11%","50,90%","4,70%",balm3
MARGEM LÍQUIDA,"9,27%","9,27%","8,70%","11,93%","10,46%","4,19%",balm3
MARGEM BRUTA,"60,53%","60,53%","58,30%","56,16%","50,03%","51,76%",balm3
MARGEM EBIT,"12,70%","12,70%","11,04%","8,88%","10,60%","5,48%",balm3
MARGEM EBITDA,"15,57%","15,57%","13,54%","12,32%","12,63%","7,41%",balm3
EV/EBITDA,"2,69","2,69","3,96","7,13","8,04","12,11",balm3
EV/EBIT,"3,29","3,30","4,85","9,90","9,58","16,37",balm3
P/EBITDA,"4,45","4,07","5,10","9,27","9,87","10,19",balm3
P/EBIT,"5,45","4,99","6,26","12,87","11,75","13,78",balm3
P/ATIVO,"0,47","0,43","0,46","0,67","0,95","0,59",balm3
P/CAP.GIRO,"1,03","0,94","1,07","1,55","3,05","2,15",balm3
P/ATIVO CIRC LIQ,"-1,61","-1,48","-1,57","-2,17","-2,40","-1,43",balm3
VPA,"14,72","14,72","13,63","13,29","11,54","10,26",balm3
LPA,"1,61","1,61","1,46","1,63","1,74","0,64",balm3
GIRO ATIVOS,"0,68","0,68","0,66","0,59","0,76","0,78",balm3
ROE,"10,93%","10,93%","10,72%","12,26%","15,07%","6,23%",balm3
ROIC,"9,67%","9,67%","8,92%","5,65%","9,46%","2,24%",balm3
ROA,"3,58%","3,58%","2,30%","4,44%","7,66%","2,19%",balm3
DÍVIDA LÍQUIDA / EBITDA,"-1,48","-1,48","-0,79","-1,36","-0,63","2,67",balm3
DÍVIDA LÍQUIDA / EBIT,"-1,81","-1,81","-0,97","-1,89","-0,75","3,61",balm3
DÍVIDA BRUTA / PATRIMÔNIO,"0,14","0,14","0,19","0,17","0,17","0,31",balm3
PATRIMÔNIO / ATIVOS,"0,58","0,58","0,54","0,57","0,53","0,53",balm3
PASSIVOS / ATIVOS,"0,42","0,42","0,46","0,42","0,43","0,43",balm3
LIQUIDEZ CORRENTE,"2,82","2,82","2,51","2,67","2,05","1,88",balm3
CAGR RECEITAS 5 ANOS,"2,62%","7,24%","8,44%","3,42%","7,78%","5,13%",balm3
CAGR LUCROS 5 ANOS,"16,42%","26,59%","65,51%","29,33%","1,85%","-19,52%",balm3
P/L,"42,46","41,33","7,65","30,62","22,45","16,57",rpad5
P/RECEITA (PSR),-,-,-,-,"7.857,12","2.419,49",rpad5
P/VP,"0,65","0,63","0,48","0,57","0,74","0,68",rpad5
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",rpad5
PAYOUT,-,"0,00%","0,08%","0,26%","0,00%","0,00%",rpad5
MARGEM LÍQUIDA,-,"0,00%","0,00%","0,00%","35.000,00%","14.600,00%",rpad5
MARGEM BRUTA,-,"0,00%","0,00%","0,00%","94,85%","95,00%",rpad5
MARGEM EBIT,-,"0,00%","0,00%","0,00%","34.979,38%","14.450,00%",rpad5
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","15.494,85%","0,00%",rpad5
EV/EBITDA,"72,44","67,31","8,11","22,41","35,26",-,rpad5
EV/EBIT,"72,44","67,31","8,11","22,42","15,62","14,36",rpad5
P/EBITDA,"77,73","75,67","8,44","32,93","50,71",-,rpad5
P/EBIT,"77,73","75,67","8,44","32,95","22,46","16,74",rpad5
P/ATIVO,"0,64","0,63","0,47","0,57","0,73","0,68",rpad5
P/CAP.GIRO,"13,87","13,50","8,78","9,77","60,25","-313,64",rpad5
P/ATIVO CIRC LIQ,"-0,68","-0,66","-0,50","-0,61","-0,75","-0,68",rpad5
VPA,"12,79","12,79","12,60","12,27","12,14","11,74",rpad5
LPA,"0,20","0,20","0,78","0,23","0,40","0,48",rpad5
GIRO ATIVOS,-,"0,00","0,00","0,00","0,000093","0,000279",rpad5
ROE,"1,53%","1,53%","6,22%","1,86%","3,30%","4,11%",rpad5
ROIC,"0,79%","0,79%","5,49%","1,73%","3,30%","4,07%",rpad5
ROA,"1,51%","1,51%","6,16%","1,85%","3,27%","4,08%",rpad5
DÍVIDA LÍQUIDA / EBITDA,"-6,69","-6,69","-1,10","-3,91","-1,41",-,rpad5
DÍVIDA LÍQUIDA / EBIT,"-6,69","-6,69","-1,10","-3,91","-0,62","-0,11",rpad5
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","0,00","0,00","0,00",rpad5
PATRIMÔNIO / ATIVOS,"0,99","0,99","0,99","0,99","0,99","0,99",rpad5
PASSIVOS / ATIVOS,"0,01","0,01","0,01","0,009355","0,009356","0,009271",rpad5
LIQUIDEZ CORRENTE,"5,30","5,30","5,93","7,26","2,32","0,76",rpad5
CAGR RECEITAS 5 ANOS,"-100,00%",-%,-%,-%,-%,-%,rpad5
CAGR LUCROS 5 ANOS,"-16,54%",-%,-%,-%,-%,-%,rpad5
P/L,"-0,49","-0,71","-0,96","6,43","11,32","27,55",frta3
P/RECEITA (PSR),"0,36","0,52","0,87","0,67","0,78","1,73",frta3
P/VP,"-0,04","-0,05","-0,07","-0,16","-0,19","-0,24",frta3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",frta3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",frta3
MARGEM LÍQUIDA,"-73,59%","-73,59%","-90,58%","10,39%","6,91%","6,29%",frta3
MARGEM BRUTA,"16,57%","16,57%","6,75%","20,84%","45,17%","29,29%",frta3
MARGEM EBIT,"-11,05%","-11,05%","18,53%","-3,63%","15,22%","-21,69%",frta3
MARGEM EBITDA,"19,72%","19,72%","33,36%","7,38%","22,00%","-13,20%",frta3
EV/EBITDA,"47,36","48,19","34,91","57,27","17,86","-55,89",frta3
EV/EBIT,"-84,53","-86,01","62,83","-116,34","25,82","-34,02",frta3
P/EBITDA,"1,81","2,64","2,59","9,04","3,55","-13,12",frta3
P/EBIT,"-3,23","-4,71","4,67","-18,37","5,14","-7,99",frta3
P/ATIVO,"0,09","0,13","0,15","0,33","0,38","0,51",frta3
P/CAP.GIRO,"-0,03","-0,04","-0,05","-0,12","-0,16","-0,21",frta3
P/ATIVO CIRC LIQ,"-0,10","-0,14","-0,17","-0,38","-0,45","-0,56",frta3
VPA,"-36,95","-36,95","-34,30","-31,77","-32,05","-33,10",frta3
LPA,"-2,70","-2,70","-2,52","0,79","0,55","0,29",frta3
GIRO ATIVOS,"0,25","0,25","0,18","0,49","0,49","0,29",frta3
ROE,"-7,30%","-7,30%","-7,35%","-2,50%","-1,72%","-0,88%",frta3
ROIC,"13,27%","13,27%","-9,70%","9,38%","-16,97%","20,32%",frta3
ROA,"-18,09%","-18,09%","-15,96%","0,87%","3,36%","1,84%",frta3
DÍVIDA LÍQUIDA / EBITDA,"45,55","45,55","32,31","48,22","14,30","-42,77",frta3
DÍVIDA LÍQUIDA / EBIT,"-81,30","-81,30","58,16","-97,96","20,68","-26,03",frta3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,89","-0,89","-0,88","-0,86","-0,81","-0,79",frta3
PATRIMÔNIO / ATIVOS,"-2,48","-2,48","-2,17","-2,04","-1,95","-2,08",frta3
PASSIVOS / ATIVOS,"3,48","3,48","3,17","3,04","2,95","3,08",frta3
LIQUIDEZ CORRENTE,"0,03","0,03","0,04","0,05","0,06","0,04",frta3
CAGR RECEITAS 5 ANOS,"-4,63%","18,51%","-33,73%","-23,37%","-15,22%","-29,82%",frta3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,frta3
P/L,"3,42","3,39","-2,14","32,68","-1,36","-4,94",cedo4
P/RECEITA (PSR),"0,25","0,24","0,03","0,05","0,09","0,13",cedo4
P/VP,"1,38","1,37","0,33","0,38","0,43","0,50",cedo4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",cedo4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",cedo4
MARGEM LÍQUIDA,"7,20%","7,20%","-1,46%","0,16%","-6,71%","-2,59%",cedo4
MARGEM BRUTA,"30,08%","30,08%","15,98%","15,67%","16,76%","11,24%",cedo4
MARGEM EBIT,"16,92%","16,92%","5,10%","4,67%","0,18%","2,32%",cedo4
MARGEM EBITDA,"19,03%","19,03%","6,57%","6,63%","3,07%","5,32%",cedo4
EV/EBITDA,"2,67","2,54","3,64","4,25","14,95","8,49",cedo4
EV/EBIT,"3,01","2,86","4,68","6,04","251,14","19,47",cedo4
P/EBITDA,"1,29","1,28","0,48","0,79","2,97","2,41",cedo4
P/EBIT,"1,46","1,44","0,61","1,12","49,82","5,53",cedo4
P/ATIVO,"0,31","0,31","0,04","0,06","0,08","0,12",cedo4
P/CAP.GIRO,"2,04","2,02","-0,69","-0,80","-4,58","-8,33",cedo4
P/ATIVO CIRC LIQ,"-0,68","-0,67","-0,10","-0,12","-0,14","-0,21",cedo4
VPA,"19,85","19,85","11,47","13,27","13,11","17,26",cedo4
LPA,"8,04","8,04","-1,80","0,15","-4,15","-1,76",cedo4
GIRO ATIVOS,"1,26","1,26","1,40","1,15","0,90","0,92",cedo4
ROE,"40,48%","40,48%","-15,65%","1,15%","-31,64%","-10,17%",cedo4
ROIC,"30,63%","30,63%","15,65%","12,29%","0,16%","1,54%",cedo4
ROA,"9,09%","9,09%","-3,07%","-0,24%","-6,66%","-1,90%",cedo4
DÍVIDA LÍQUIDA / EBITDA,"1,24","1,24","2,98","3,27","10,21","6,03",cedo4
DÍVIDA LÍQUIDA / EBIT,"1,40","1,40","3,84","4,64","171,47","13,83",cedo4
DÍVIDA BRUTA / PATRIMÔNIO,"1,76","1,76","2,27","1,72","1,73","1,38",cedo4
PATRIMÔNIO / ATIVOS,"0,22","0,22","0,13","0,16","0,19","0,24",cedo4
PASSIVOS / ATIVOS,"0,77","0,77","0,86","0,82","0,78","0,73",cedo4
LIQUIDEZ CORRENTE,"1,40","1,40","0,90","0,87","0,96","0,97",cedo4
CAGR RECEITAS 5 ANOS,"10,49%","11,42%","14,09%","13,54%","9,31%","3,73%",cedo4
CAGR LUCROS 5 ANOS,-,"11,88%",-%,-%,-%,-%,cedo4
P/L,"16,61","18,87","15,60","43,48","33,25","27,67",aflt3
P/RECEITA (PSR),"7,09","8,05","8,12","4,65","17,31","18,10",aflt3
P/VP,"1,88","2,13","2,24","2,26","3,32","3,26",aflt3
DIVIDEND YIELD (DY),-,"3,06%","2,55%","10,68%","4,75%","0,95%",aflt3
PAYOUT,"57,70%","57,70%","39,76%","464,25%","158,02%","26,38%",aflt3
MARGEM LÍQUIDA,"42,66%","42,66%","52,01%","10,70%","52,07%","65,41%",aflt3
MARGEM BRUTA,"53,38%","53,38%","61,82%","88,64%","64,87%","66,33%",aflt3
MARGEM EBIT,"44,76%","44,76%","53,18%","85,79%","53,35%","64,65%",aflt3
MARGEM EBITDA,"44,98%","44,98%","52,33%","85,87%","53,66%","64,51%",aflt3
EV/EBITDA,"15,66","17,81","14,95","5,25","30,68","26,03",aflt3
EV/EBIT,"15,74","17,90","14,71","5,26","30,86","25,97",aflt3
P/EBITDA,"15,75","17,90","15,51","5,42","32,26","28,05",aflt3
P/EBIT,"15,83","17,99","15,26","5,42","32,45","27,99",aflt3
P/ATIVO,"1,65","1,87","1,94","2,03","2,99","3,07",aflt3
P/CAP.GIRO,"12,42","14,12","12,17","11,09","12,92","10,25",aflt3
P/ATIVO CIRC LIQ,"-2,03","-2,31","-2,52","-2,60","-4,07","-4,59",aflt3
VPA,"4,03","4,03","4,13","3,92","2,97","3,40",aflt3
LPA,"0,46","0,46","0,59","0,20","0,30","0,40",aflt3
GIRO ATIVOS,"0,23","0,23","0,24","0,44","0,17","0,17",aflt3
ROE,"11,30%","11,30%","14,38%","5,20%","9,98%","11,79%",aflt3
ROIC,"10,62%","10,62%","13,27%","39,86%","9,26%","10,61%",aflt3
ROA,"9,91%","9,91%","12,46%","36,17%","9,00%","11,10%",aflt3
DÍVIDA LÍQUIDA / EBITDA,"-0,09","-0,09","-0,56","-0,17","-1,58","-2,03",aflt3
DÍVIDA LÍQUIDA / EBIT,"-0,09","-0,09","-0,55","-0,17","-1,59","-2,02",aflt3
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,000527","0,001304","0,002182","0,003948","0,005822",aflt3
PATRIMÔNIO / ATIVOS,"0,88","0,88","0,87","0,90","0,90","0,94",aflt3
PASSIVOS / ATIVOS,"0,12","0,12","0,13","0,93","0,10","0,06",aflt3
LIQUIDEZ CORRENTE,"3,30","3,30","3,34","5,85","7,92","10,55",aflt3
CAGR RECEITAS 5 ANOS,"11,75%","14,85%","24,96%","30,86%","5,56%","2,20%",aflt3
CAGR LUCROS 5 ANOS,"2,59%","4,89%","24,53%","47,52%","8,17%","11,02%",aflt3
P/L,"-0,17","-0,03","-0,03","-0,16","-0,16","-0,03",teka3
P/RECEITA (PSR),"0,08","0,01","0,02","0,06","0,14","0,03",teka3
P/VP,"-0,01","-0,00","-0,00","-0,01","-0,01","-0,00",teka3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",teka3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",teka3
MARGEM LÍQUIDA,"-50,91%","-50,91%","-60,00%","-35,13%","-87,65%","-86,76%",teka3
MARGEM BRUTA,"21,24%","21,24%","17,88%","19,31%","17,33%","14,90%",teka3
MARGEM EBIT,"-1,45%","-1,45%","-40,46%","11,12%","-1,54%","-19,13%",teka3
MARGEM EBITDA,"0,06%","0,06%","-38,75%","13,01%","1,75%","-15,67%",teka3
EV/EBITDA,"3.018,26","2.945,37","-4,97","19,09","227,11","-20,29",teka3
EV/EBIT,"-131,05","-127,88","-4,76","22,33","-257,17","-16,62",teka3
P/EBITDA,"133,82","22,03","-0,04","0,44","7,84","-0,17",teka3
P/EBIT,"-5,81","-0,96","-0,04","0,52","-8,87","-0,14",teka3
P/ATIVO,"0,02","0,003521","0,003765","0,01","0,02","0,004110",teka3
P/CAP.GIRO,"-0,01","-0,00","-0,00","-0,01","-0,01","-0,00",teka3
P/ATIVO CIRC LIQ,"-0,02","-0,00","-0,00","-0,01","-0,02","-0,00",teka3
VPA,"-4.113,86","-4.113,86","-3.811,63","-3.493,47","-3.335,36","-3.108,38",teka3
LPA,"-301,18","-301,18","-317,36","-159,23","-230,12","-256,46",teka3
GIRO ATIVOS,"0,25","0,25","0,24","0,21","0,13","0,15",teka3
ROE,"-7,32%","-7,32%","-8,33%","-4,56%","-6,90%","-8,25%",teka3
ROIC,"0,37%","0,37%","7,77%","-1,88%","0,62%","2,78%",teka3
ROA,"-12,88%","-12,88%","-14,52%","-7,55%","-11,55%","-13,17%",teka3
DÍVIDA LÍQUIDA / EBITDA,"2.900,57","2.900,57","-4,88","18,83","222,46","-20,12",teka3
DÍVIDA LÍQUIDA / EBIT,"-125,94","-125,94","-4,67","22,03","-251,91","-16,47",teka3
DÍVIDA BRUTA / PATRIMÔNIO,"-0,26","-0,26","-0,26","-0,32","-0,31","-0,30",teka3
PATRIMÔNIO / ATIVOS,"-1,76","-1,76","-1,74","-1,66","-1,67","-1,60",teka3
PASSIVOS / ATIVOS,"2,76","2,76","2,74","2,66","0,28","2,60",teka3
LIQUIDEZ CORRENTE,"0,04","0,04","0,04","0,04","0,03","0,03",teka3
CAGR RECEITAS 5 ANOS,"14,88%","14,82%","15,05%","7,53%","-1,38%","4,39%",teka3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,teka3
P/L,"23,27","24,19","-308,08","103,14","21,54","14,63",bauh4
P/RECEITA (PSR),"1,85","1,92","2,28","2,62","2,65","2,22",bauh4
P/VP,"3,92","4,07","4,79","4,64","5,50","5,68",bauh4
DIVIDEND YIELD (DY),"1,54%","1,48%","0,00%","0,00%","0,89%","0,62%",bauh4
PAYOUT,"16,25%","16,25%","0,00%","0,00%","8,69%","4,10%",bauh4
MARGEM LÍQUIDA,"7,95%","7,95%","-0,74%","2,54%","12,28%","15,21%",bauh4
MARGEM BRUTA,"23,15%","23,15%","22,30%","18,96%","23,27%","25,74%",bauh4
MARGEM EBIT,"5,14%","5,14%","4,17%","1,31%","12,97%","9,91%",bauh4
MARGEM EBITDA,"7,73%","7,73%","6,80%","4,68%","15,10%","11,49%",bauh4
EV/EBITDA,"9,97","10,02","15,50","24,94","7,38","7,10",bauh4
EV/EBIT,"14,99","15,06","25,28","89,27","8,60","8,23",bauh4
P/EBITDA,"23,94","24,88","33,57","55,99","17,52","19,36",bauh4
P/EBIT,"36,00","37,42","54,74","200,43","20,40","22,44",bauh4
P/ATIVO,"2,48","2,58","2,88","2,84","3,39","3,36",bauh4
P/CAP.GIRO,"36,23","37,66","39,52","-36,20","46,75","19,36",bauh4
P/ATIVO CIRC LIQ,"-4,23","-4,39","-4,96","-4,01","-5,96","-7,51",bauh4
VPA,"20,11","20,11","17,50","18,92","17,59","13,74",bauh4
LPA,"3,38","3,38","-0,27","0,85","4,49","5,33",bauh4
